A,B,confidence
"[722, 730]",[911],0.5038759689922481
"[725, 730]","[1569, 1185, 897, 970, 1067, 4118, 728, 1721]",0.15870307167235495 0.18600682593856654 0.12798634812286688 0.13481228668941977 0.14505119453924914 0.14334470989761092 0.14334470989761092 0.14334470989761092
"[726, 730]",[1721],0.3905579399141631
"[730, 911]","[2218, 1721, 722, 1067]",0.3 0.2764705882352941 0.3823529411764706 0.19411764705882353
"[730, 970]",[1721],0.21543408360128616
"[730, 1067]","[897, 1185, 1569, 1130, 911, 725, 4118, 1721]",0.23346303501945528 0.13618677042801558 0.18287937743190663 0.13618677042801558 0.14202334630350194 0.15175097276264593 0.16342412451361868 0.12645914396887162
"[730, 1130]",[1067],0.3349282296650718
"[730, 1141]","[1185, 1721, 4118, 1569]",0.25914634146341464 0.22560975609756095 0.20121951219512196 0.2042682926829268
"[730, 2218]",[911],0.28448275862068967
"[730, 4118]","[1141, 1067, 725]",0.3409090909090909 0.2130681818181818 0.2102272727272727
[738],"[2753, 482, 2851, 2884, 869, 806, 1058, 485, 2218, 2414, 911, 722, 730, 1977, 954, 4059, 2845, 1086]",0.1445466491458607 0.14980289093298294 0.11563731931668858 0.1011826544021025 0.27332457293035484 0.20367936925098554 0.11432325886990802 0.1695137976346912 0.11695137976346912 0.1011826544021025 0.12089356110381078 0.15505913272010513 0.1997371879106439 0.1116951379763469 0.1800262812089356 0.16819973718791065 0.12089356110381078 0.12614980289093297 0.10643889618922471
"[738, 2851]",[2753],0.4258064516129033
"[738, 4059]",[2753],0.5912408759124088
[758],"[730, 725, 726]",0.12357414448669203 0.12547528517110268 0.1463878326996198
[770],[730],0.2
[771],"[910, 722, 726, 1721, 730]",0.20084566596194503 0.14587737843551798 0.1543340380549683 0.19873150105708245 0.13953488372093026
[775],"[897, 730]",0.20653061224489797 0.10040816326530612
[780],"[824, 730, 822, 823]",0.11064055055584965 0.10534674430915827 0.11381683430386448 0.16410799364743248
"[780, 822]",[823],0.3875598086124402
"[780, 823]","[824, 822]",0.2612903225806452 0.21935483870967742
[788],"[584, 817, 850, 1462, 856, 3451, 2812]",0.14834024896265563 0.14522821576763487 0.1400414937759336 0.11203319502074689 0.11203319502074689 0.12033195020746888 0.19605809128630705
[806],"[482, 1058, 2884, 485, 2218, 2413, 2414, 911, 722, 1977, 954, 2845]",0.10292953285827396 0.11718131433095803 0.11084718923198734 0.14014251781472684 0.12984956452889945 0.1496437054631829 0.15676959619952494 0.10768012668250199 0.16310372129849565 0.1417260490894695 0.18448139350752177 0.1140142517814727
"[806, 911]",[722],0.47639484978540775
[812],"[584, 817, 850, 1462]",0.16258741258741258 0.11538461538461539 0.13286713286713286 0.17307692307692304
[817],"[584, 850, 1462, 856, 1018, 2812]",0.13079019073569484 0.11389645776566756 0.17057220708446869 0.1569482288828338 0.16948228882833788 0.11934604904632154
"[817, 830]","[1018, 2812]",0.5328467153284672 0.5109489051094891
"[817, 850]","[584, 3451, 856, 1462]",0.34374999999999994 0.31249999999999994 0.23263888888888884 0.23263888888888884
"[817, 1018]","[584, 1462, 830, 2812]",0.3492822966507177 0.40669856459330145 0.5263157894736842 0.33971291866028713
"[817, 1462]","[584, 850, 1463, 1018, 2812]",0.29712460063897767 0.29073482428115016 0.31629392971246 0.2715654952076677 0.5015974440894568
"[817, 1463]","[584, 1462]",0.5352941176470588 0.47058823529411764
"[817, 2812]","[830, 1018, 584, 1462]",0.3875 0.29166666666666663 0.425 0.45833333333333326
"[817, 3451]",[850],0.435064935064935
[822],"[824, 780, 823]",0.16129032258064518 0.18221447253705317 0.15518744551002614
"[822, 823]",[780],0.45505617977528096
[823],"[1130, 780, 822, 824, 730]",0.10416666666666667 0.10119047619047619 0.16517857142857142 0.2306547619047619 0.1324404761904762
[824],"[964, 780, 910, 726, 823]",0.10653104925053532 0.1076017130620985 0.11884368308351177 0.11509635974304068 0.10599571734475374
"[726, 824]",[910],0.3383838383838384
"[780, 824]",[823],0.31627906976744186
"[823, 824]",[780],0.3063063063063063
"[824, 910]",[726],0.3366834170854271
[828],"[850, 3451, 3906, 1462]",0.17841880341880342 0.27457264957264954 0.12713675213675213 0.10576923076923077
[830],"[2452, 660, 1462, 1018, 2812, 543]",0.15661641541038523 0.16457286432160803 0.259212730318258 0.11599664991624792 0.1126465661641541 0.32830820770519265 0.1591289782244556
"[543, 830]","[584, 2452, 660, 1462, 1018, 2812]",0.34224598930481287 0.18449197860962568 0.19251336898395724 0.2700534759358289 0.4010695187165776 0.5053475935828877 0.27272727272727276 0.17647058823529416 0.2165775401069519 0.1898395721925134
"[830, 1018, 1462]","[584, 2452, 2812, 543]",0.5714285714285715 0.33333333333333337 0.36363636363636365 0.35064935064935066 0.2813852813852814
"[830, 1018, 1462, 2812]",[584],0.49242424242424243
"[830, 1462]","[3906, 584, 850, 660, 2452, 1463, 1018, 2812, 543]",0.3256997455470738 0.5877862595419847 0.17302798982188294 0.2340966921119593 0.18575063613231552 0.2340966921119593 0.30788804071246817 0.2315521628498728 0.33587786259541985 0.1959287531806616 0.21374045801526717 0.1806615776081425 0.20610687022900764 0.1806615776081425 0.16539440203562342
"[543, 830, 1462]","[1018, 2812]",0.6328125 0.5546875
"[830, 1463]",[1462],0.5964912280701754
"[830, 1462, 2452]","[1018, 2812]",0.6363636363636365 0.5867768595041323
"[830, 1462, 2812]","[584, 1018, 2452, 543]",0.49189189189189186 0.7135135135135136 0.3837837837837838 0.3837837837837838 0.35135135135135137
[842],[1462],0.19512195121951223
[850],"[584, 817, 3451, 1462]",0.10836501901140684 0.10950570342205325 0.15247148288973386 0.1376425855513308
"[828, 850]",[3451],0.30739299610894943
"[830, 850]","[1018, 2812, 1462]",0.3821989528795811 0.47643979057591623 0.3769633507853404
"[850, 1018]",[584],0.3114754098360656
"[850, 1462]","[3906, 584, 817, 4817, 2452, 1018, 3451, 2812, 830]",0.3516209476309227 0.24688279301745633 0.23441396508728177 0.18453865336658354 0.18204488778054861 0.24937655860349126 0.26683291770573564 0.2144638403990025 0.19201995012468828
"[850, 2452]",[1462],0.46951219512195125
"[850, 2812]","[584, 1018, 1462, 830]",0.4405940594059406 0.4900990099009901 0.3564356435643565 0.42574257425742573
"[850, 3451]","[817, 828, 1462]",0.21823204419889503 0.27624309392265195 0.18508287292817677
"[850, 3906]","[584, 1462]",0.3900414937759336 0.29045643153526973
[856],"[584, 817, 850, 788, 1462, 1018, 3451, 2812]",0.14014251781472684 0.1702296120348377 0.11322248614410137 0.11322248614410137 0.10847189231987332 0.1163895486935867 0.17339667458432306 0.11797307996832938
"[817, 856]",[850],0.30593607305936066
"[850, 856]",[817],0.31162790697674414
"[856, 1018]",[2812],0.5306122448979592
"[856, 2812]",[1018],0.4406779661016949
[861],"[584, 817, 850, 1462, 1018, 2812, 830]",0.2759226713532513 0.15641476274165203 0.1827768014059754 0.15817223198594024 0.13708260105448156 0.11775043936731107 0.19332161687170474 0.11599297012302287
"[861, 1462]",[584],0.4203821656050956
[864],"[730, 722, 911]",0.3159609120521173 0.3257328990228013 0.2247557003257329 0.21824104234527686
"[722, 864]",[911],0.690721649484536
"[864, 911]",[722],0.6699999999999999
[869],"[482, 1058, 485, 2218, 1067, 911, 730]",0.12809131261889664 0.1959416613823716 0.10082435003170577 0.1274571972098922 0.12111604311984782 0.12048192771084337 0.1357006975269499
"[485, 869]",[2218],0.3712871287128713
"[869, 911]",[722],0.368421052631579
[875],"[1537, 4771, 1764, 1130, 1514, 3324]",0.10301768990634755 0.19302809573361082 0.11758584807492196 0.16441207075962538 0.17325702393340273 0.13839750260145683
"[875, 1003]","[1764, 1135]",0.36363636363636365 0.4385026737967915
"[875, 1135]","[1130, 1003, 1764]",0.3885714285714285 0.37714285714285717 0.4057142857142857
"[875, 1514, 4771]",[1537],0.6232876712328768
"[875, 1537, 4771]",[1514],0.7583333333333333
"[875, 1764]","[1537, 1514, 1003, 1130, 1135, 3324]",0.3308270676691729 0.2669172932330827 0.25187969924812026 0.3082706766917293 0.3120300751879699 0.2857142857142857
"[875, 3324]","[1514, 1764, 1130]",0.38383838383838387 0.3585858585858586 0.41919191919191917
"[875, 4771]","[1537, 1130, 1514]",0.336283185840708 0.5309734513274337 0.6460176991150441 0.4026548672566372
"[725, 897]",[730],0.3333333333333333
"[730, 897]","[1185, 1067, 725]",0.1794871794871795 0.1794871794871795 0.21538461538461537
"[897, 1067]",[730],0.3225806451612903
"[897, 1130]","[1537, 1514, 1764]",0.2084507042253521 0.23380281690140842 0.19718309859154928
"[897, 1514]","[1537, 1130, 4771, 1764]",0.2643312101910828 0.27388535031847133 0.32165605095541405 0.4171974522292994
"[897, 1537]","[1514, 4771]",0.31627906976744186 0.6093023255813954
"[897, 1764]","[3324, 1130, 1514]",0.26334519572953735 0.30604982206405695 0.2704626334519573
"[897, 3324]",[1764],0.4222222222222223
"[897, 3373]",[3360],0.4744525547445256
"[897, 4771]","[1537, 1514]",0.6558441558441558 0.4415584415584415
[908],"[824, 668, 730, 780]",0.12552301255230125 0.14330543933054393 0.1098326359832636 0.11820083682008369
[909],"[648, 1190]",0.18393393393393392 0.29954954954954954
"[909, 1190]",[648],0.3082706766917293
[910],"[1721, 726]",0.16940581542351452 0.16687737041719342
"[726, 910]","[824, 1052]",0.1691919191919192 0.20202020202020204
"[910, 911]","[1721, 722]",0.38118811881188125 0.34653465346534656
[911],"[1058, 806, 2218, 1067, 910, 722, 726, 1721, 730]",0.1714573877962683 0.1260716086737267 0.16288451840645485 0.2879475542107917 0.11396873424104892 0.1371659102370146 0.11749873928391326 0.10186585980837115 0.10539586485123549
[940],"[1266, 1427, 1462]",0.16758241758241757 0.1043956043956044 0.10164835164835165
[951],"[648, 909, 1190]",0.24404761904761907 0.2817460317460318 0.15476190476190477 0.13690476190476192
[954],"[2753, 482, 738, 2851, 485, 806, 2884, 869, 1058, 2218, 2413, 2414, 911, 3598, 722, 1977, 4059, 2845]",0.20833333333333334 0.12023809523809524 0.15 0.1761904761904762 0.15357142857142858 0.19166666666666668 0.15357142857142858 0.13333333333333333 0.15476190476190477 0.2785714285714286 0.1392857142857143 0.14523809523809525 0.1380952380952381 0.12142857142857144 0.17261904761904762 0.11904761904761905 0.1619047619047619 0.19285714285714287
"[954, 2851]",[2218],0.29059829059829057
[959],"[2979, 543]",0.11578947368421054 0.12280701754385966
[960],[730],0.2185430463576159
[964],"[3370, 1962, 780, 910, 725, 824]",0.1021021021021021 0.2012012012012012 0.12112112112112111 0.10010010010010009 0.1151151151151151 0.1051051051051051
[970],"[897, 725, 1141, 4118, 1721, 730]",0.11578305911029858 0.11517367458866544 0.10420475319926874 0.14137720901889092 0.12492382693479585 0.1895185862279098
"[725, 970]",[730],0.4008620689655173
"[730, 970]",[725],0.2990353697749196
[972],"[897, 970, 725, 1141, 4118, 1721, 730]",0.10971786833855798 0.15517241379310343 0.13636363636363635 0.21159874608150467 0.10971786833855798 0.10658307210031347 0.16614420062695923
[973],"[780, 823, 824, 730, 668]",0.14371257485029942 0.1337325349301397 0.16966067864271456 0.1377245508982036 0.14770459081836326
[975],"[909, 1190]",0.10756501182033097 0.10283687943262411
[997],"[2452, 1462, 1018, 2812, 2557, 830, 543]",0.18738738738738742 0.21621621621621623 0.12072072072072071 0.22162162162162163 0.14774774774774777 0.12972972972972974 0.13873873873873876
[1002],"[584, 817, 850, 1462]",0.13154533844189017 0.14687100893997446 0.12388250319284802 0.10217113665389527
[1003],"[1537, 1764, 1130, 875, 1514, 1135, 3324]",0.37184115523465705 0.15342960288808666 0.11371841155234656 0.253309265944645 0.1305655836341757 0.11251504211793019 0.1233453670276775 0.1444043321299639
"[1003, 1135]","[1537, 1764, 1130, 875, 1514, 3324]",0.16152019002375295 0.18052256532066507 0.19477434679334918 0.5700712589073634 0.2921615201900237 0.21140142517814725 0.2019002375296912
"[1003, 1764]","[1537, 1514, 875, 1130, 1135, 3568, 3324]",0.26537216828478966 0.12459546925566344 0.15857605177993528 0.13268608414239483 0.18122977346278318 0.38834951456310685 0.13106796116504854 0.13754045307443366
"[1003, 1135, 1764]",[3324],0.35416666666666663
"[1003, 3324]","[1764, 1135]",0.6431372549019607 0.48235294117647054 0.3333333333333333
"[1003, 1135, 3324]",[1764],0.6910569105691057
[1018],"[584, 850, 660, 2452, 1462, 2812, 830, 543]",0.15121549237742068 0.2369180057684384 0.1211372064276885 0.32303255047383606 0.33539348990523277 0.15409971157807992 0.15451174289245984 0.10053564070869386 0.10836423568191182 0.1565718994643593
"[543, 1018]","[584, 2452, 660, 1462, 2812, 830]",0.376 0.29866666666666664 0.43733333333333335 0.232 0.504 0.18133333333333332 0.272 0.17600000000000002 0.216 0.20533333333333334
"[660, 1018]","[2452, 1462, 2812, 830, 543]",0.4217687074829932 0.36394557823129253 0.44897959183673475 0.23129251700680273 0.227891156462585 0.23469387755102042
"[660, 830, 1018]",[2812],0.5564516129032258
"[660, 1018, 2812]",[830],0.5227272727272727
"[830, 1018]","[3906, 1190, 584, 850, 660, 2452, 1462, 3451, 2812, 543]",0.13392857142857142 0.1721938775510204 0.2946428571428571 0.11479591836734693 0.15816326530612246 0.11607142857142856 0.24107142857142855 0.1173469387755102 0.4846938775510204 0.2002551020408163 0.13010204081632654 0.1683673469387755 0.11862244897959184 0.10714285714285714 0.10331632653061225 0.125
"[543, 830, 1018]","[2452, 2812, 1462]",0.5396825396825398 0.34920634920634924 0.4285714285714286
"[850, 1018]","[2812, 830, 1462]",0.4057377049180328 0.3729508196721312 0.4385245901639344
"[1018, 1190]","[2812, 830]",0.4787234042553192 0.35638297872340424
"[1018, 1403]",[2812],0.47794117647058826
"[1018, 1462]","[3906, 584, 4817, 817, 850, 2452, 660, 1463, 3451, 2812, 830, 543]",0.24521739130434783 0.4017391304347826 0.2817391304347826 0.16 0.14782608695652172 0.37565217391304345 0.16521739130434782 0.24 0.18608695652173912 0.45739130434782604 0.18608695652173912 0.13565217391304346 0.22956521739130437 0.15304347826086956 0.13391304347826088 0.14608695652173911 0.12521739130434784 0.12869565217391304 0.1408695652173913 0.24 0.13391304347826088 0.11304347826086956 0.11304347826086956
"[543, 1018, 1462]","[2812, 830]",0.5744680851063829 0.5460992907801419
"[1018, 1463]","[584, 2812, 1462]",0.4966442953020134 0.6375838926174496 0.5369127516778524
"[1018, 2452]","[3906, 584, 660, 1462, 3451, 2812, 830, 543]",0.18181818181818182 0.4331550802139038 0.4732620320855615 0.29946524064171126 0.2058823529411765 0.25133689839572193 0.17914438502673796 0.4197860962566845 0.17647058823529416 0.23529411764705885 0.2058823529411765 0.2486631016042781 0.1737967914438503 0.18449197860962568
"[543, 1018, 2452]",[830],0.5892857142857143
"[830, 1018, 2452]","[2812, 1462, 543]",0.4203821656050956 0.4904458598726115 0.5923566878980893
"[1018, 1462, 2452]","[584, 2812, 830]",0.54320987654321 0.47530864197530864 0.4012345679012346
"[1018, 2452, 2812]","[830, 584, 1462]",0.49717514124293793 0.5254237288135594 0.3898305084745763
"[1018, 2557]",[830],0.4928571428571428
"[1018, 2812]","[3906, 584, 817, 850, 2452, 660, 1462, 3451, 830, 543]",0.21744471744471744 0.12162162162162161 0.11916461916461918 0.2014742014742015 0.3230958230958231 0.1375921375921376 0.13513513513513514 0.46683046683046686 0.16216216216216217 0.27641277641277645 0.12530712530712532 0.16216216216216217 0.10810810810810813 0.11425061425061427 0.16953316953316955 0.1203931203931204
"[543, 1018, 2812]","[1462, 830]",0.6219512195121951 0.46951219512195125
"[830, 1018, 2812]","[584, 2452, 660, 1462, 543]",0.18157894736842106 0.26842105263157895 0.3473684210526316 0.24473684210526317 0.2578947368421053 0.17105263157894737
"[1018, 1462, 2812]","[3906, 584, 2452, 830, 543]",0.5019011406844107 0.3346007604562738 0.2737642585551331 0.5247148288973384 0.2927756653992396 0.24714828897338406
"[1018, 3451]","[2452, 1462, 830, 2812]",0.30357142857142855 0.4330357142857143 0.41071428571428575 0.3482142857142857
"[1018, 3906]",[584],0.4192139737991266
[1029],"[1523, 725, 726, 1721, 730]",0.16586921850079744 0.13875598086124402 0.14354066985645933 0.13556618819776714 0.15948963317384368
[1045],[911],0.20766773162939298
[1052],"[1721, 1523, 726, 910]",0.1662531017369727 0.19975186104218362 0.11786600496277914 0.3535980148883374 0.11538461538461539
"[726, 1052]","[1721, 910]",0.2807017543859649 0.3263157894736842
"[910, 1052]",[726],0.5970149253731344
[1058],"[2753, 482, 2851, 869, 806, 485, 2218, 1067, 911, 3217, 1977]",0.10429447852760736 0.12331288343558282 0.11779141104294479 0.11840490797546013 0.11840490797546013 0.1098159509202454 0.11411042944785277 0.12822085889570553 0.24539877300613497 0.12392638036809817 0.12208588957055215
"[485, 1058]",[2218],0.48019801980198024
"[806, 1058]",[2218],0.36871508379888274
"[869, 1058]",[2218],0.5124378109452736
"[911, 1058]","[722, 2218]",0.32057416267942584 0.31578947368421056
"[1058, 1067]",[2218],0.3494623655913978
"[1058, 2851]",[2218],0.44041450777202074
"[1058, 2884]",[2218],0.40372670807453415
[1067],"[730, 4118]",0.18589511754068713 0.10958408679927667
"[725, 1067]",[730],0.5
"[869, 1067]",[2218],0.3037383177570094
"[911, 1067]","[722, 2218, 1721, 730]",0.2536764705882353 0.35661764705882354 0.34558823529411764 0.25
"[1067, 4118]","[730, 1130]",0.39603960396039606 0.23762376237623767
[1086],"[1442, 2851, 2884, 869, 485, 806, 482, 1058, 2218, 1067, 911, 3217, 722, 1977, 730]",0.10486891385767791 0.13764044943820225 0.11329588014981273 0.14419475655430714 0.13483146067415733 0.1104868913857678 0.2050561797752809 0.12640449438202248 0.14325842696629215 0.16198501872659177 0.1254681647940075 0.1310861423220974 0.10674157303370788 0.150749063670412 0.14232209737827717
[1096],[1185],0.32916666666666666
