A,B,confidence
[954],"[2753, 482, 738, 2851, 485, 806, 2884, 869, 1058, 2218, 2413, 2414, 911, 3598, 722, 1977, 4059, 2845]",0.20772946859903382 0.12198067632850242 0.14855072463768115 0.17028985507246377 0.15458937198067635 0.18719806763285024 0.1557971014492754 0.13285024154589373 0.15217391304347824 0.2777777777777778 0.1316425120772947 0.14130434782608697 0.13768115942028986 0.11956521739130435 0.17270531400966183 0.11956521739130435 0.1557971014492754 0.19082125603864733
"[738, 954]",[2851],0.4806201550387596
"[954, 2851]","[2218, 1977, 738, 2753]",0.2695652173913043 0.2652173913043478 0.2695652173913043 0.29130434782608694
[959],"[2979, 543]",0.11423220973782772 0.12734082397003746
[960],[730],0.22509225092250923
[964],"[3370, 1962, 780, 910, 725, 824]",0.10454065469904963 0.20802534318901797 0.1224920802534319 0.10242872228088701 0.11298838437170011 0.10770855332629356
[970],"[897, 725, 1141, 4118, 1721, 730]",0.11949265687583445 0.12016021361815754 0.1034712950600801 0.14686248331108143 0.12283044058744993 0.19492656875834447
"[725, 970]",[730],0.41363636363636364
"[730, 970]",[725],0.3116438356164383
[972],"[897, 970, 725, 1141, 4118, 1721, 730]",0.10810810810810811 0.1570945945945946 0.13851351351351351 0.21114864864864863 0.10810810810810811 0.1064189189189189 0.17398648648648649
[973],"[780, 822, 823, 824, 1721, 730, 668]",0.14519427402862983 0.130879345603272 0.17177914110429449 0.1411042944785276 0.12678936605316973 0.1247443762781186 0.14723926380368096
[975],"[909, 1190]",0.11165644171779142 0.10306748466257669
[997],"[3143, 2452, 1462, 1018, 2812, 2557, 830, 543]",0.18829981718464353 0.21572212065813529 0.12248628884826326 0.2230347349177331 0.1480804387568556 0.12979890310786105 0.13893967093235832 0.1096892138939671
[1002],"[584, 817, 850, 1462]",0.13342318059299194 0.15498652291105122 0.1307277628032345 0.10646900269541779
[1003],"[1537, 1764, 1130, 875, 1514, 1135, 3324]",0.36874999999999997 0.15125 0.111875 0.255625 0.133125 0.10187500000000001 0.125 0.14375000000000002
"[1003, 1135]","[1537, 1764, 1514, 875, 1130, 3324]",0.15647921760391198 0.19070904645476772 0.21026894865525672 0.18092909535452323 0.5623471882640587 0.27872860635696817 0.19315403422982882
"[1003, 1764]","[1537, 1514, 1130, 875, 1135, 3568, 3324]",0.1593220338983051 0.18305084745762712 0.1271186440677966 0.2576271186440678 0.12033898305084745 0.1152542372881356 0.3898305084745763 0.13389830508474576
"[1003, 1135, 1764]",[3324],0.3434782608695652
"[1003, 3324]","[1514, 1764, 1135]",0.628099173553719 0.25206611570247933 0.47107438016528924 0.3264462809917355
"[1003, 1135, 3324]",[1764],0.6929824561403509
[1018],"[584, 660, 2452, 1462, 2812, 830, 543]",0.15259197324414717 0.2395484949832776 0.12123745819397995 0.32357859531772576 0.33653846153846156 0.15384615384615385 0.15593645484949833 0.10911371237458194 0.15677257525083613
"[543, 1018]","[3906, 584, 2452, 660, 1462, 2812, 830]",0.37533512064343166 0.43431635388739953 0.1769436997319035 0.2922252010723861 0.16621983914209115 0.23324396782841825 0.4986595174262735 0.26541554959785524 0.17158176943699735 0.17158176943699735 0.21179624664879357 0.20375335120643434
"[660, 1018]","[584, 2452, 1462, 2812, 830, 543]",0.42068965517241375 0.4482758620689655 0.2275862068965517 0.3655172413793103 0.2172413793103448 0.2275862068965517 0.23103448275862068
"[660, 830, 1018]",[2812],0.5491803278688525
"[660, 1018, 2812]",[830],0.5153846153846153
"[788, 1018]",[2812],0.6630434782608695
"[830, 1018]","[3906, 1190, 584, 850, 2452, 660, 1462, 3451, 2812, 543]",0.1330749354005168 0.15762273901808785 0.20025839793281652 0.11627906976744186 0.2945736434108527 0.4844961240310078 0.1731266149870801 0.11757105943152456 0.24031007751937986 0.11627906976744186 0.12790697674418605 0.16925064599483206 0.11886304909560724 0.10852713178294573 0.1020671834625323 0.12661498708010335
"[543, 830, 1018]","[2452, 2812, 1462]",0.532258064516129 0.34408602150537637 0.4247311827956989
"[850, 1018]","[830, 3451, 2812, 1462]",0.25941422594142255 0.44351464435146437 0.405857740585774 0.3807531380753138
"[1018, 1190]","[830, 2812, 1462]",0.34408602150537637 0.4838709677419355 0.3548387096774194
"[1018, 1266]","[2812, 830]",0.435374149659864 0.4081632653061224
"[1018, 1403]","[2812, 830]",0.4592592592592592 0.4814814814814815
"[1018, 1462]","[3906, 1190, 584, 817, 850, 4817, 660, 2452, 1463, 3451, 2812, 830, 543]",0.2443280977312391 0.45549738219895286 0.13263525305410123 0.11169284467713789 0.37521815008726006 0.18499127399650958 0.18499127399650958 0.39790575916230364 0.14485165794066318 0.16579406631762653 0.2792321116928447 0.1605584642233857 0.24083769633507854 0.2286212914485166 0.1518324607329843 0.13089005235602094 0.11169284467713789 0.14659685863874347 0.1256544502617801 0.12914485165794068 0.13787085514834205 0.23734729493891799 0.13263525305410123 0.11169284467713789 0.11343804537521816
"[543, 1018, 1462]","[584, 2812, 830]",0.4571428571428572 0.5642857142857143 0.5428571428571429
"[1018, 1463]","[584, 2812, 1462]",0.4864864864864864 0.6418918918918919 0.5337837837837838
"[1018, 2452]","[3906, 584, 660, 1462, 3451, 2812, 830, 543]",0.2092391304347826 0.25271739130434784 0.421195652173913 0.1766304347826087 0.296195652173913 0.4347826086956521 0.4755434782608695 0.1793478260869565 0.1739130434782609 0.23641304347826086 0.20380434782608695 0.25 0.1739130434782609 0.18478260869565216
"[543, 1018, 2452]",[830],0.5871559633027523
"[830, 1018, 2452]","[2812, 1462, 543]",0.41290322580645167 0.4838709677419355 0.5935483870967743
"[1018, 1462, 2452]","[584, 2812, 830]",0.5437500000000001 0.46875000000000006 0.4000000000000001
"[1018, 2452, 2812]","[830, 584, 1462]",0.49714285714285716 0.5257142857142858 0.38857142857142857
"[1018, 2557]",[830],0.48175182481751827
