A,B,lift
"[584, 1462, 3906]",[1463],23.599333333333334
"[1130, 1514]","[1537, 4771]",23.560574125328227
"[1462, 2812]","[830, 1018]",23.50029247367737
"[1514, 3324]","[1537, 4771]",23.498970337174562
"[875, 1537]","[1514, 4771]",23.34370366323807
"[1130, 4771]","[1514, 1537]",23.325104947921243
[1563],[1443],23.18145968452238
[1443],[1563],23.18145968452238
"[2413, 2414]",[2845],23.147392632426104
"[722, 1721]",[911],23.130894282456424
"[722, 2413]",[911],23.113046370201445
"[1003, 1537]",[1135],22.908155155065014
"[1537, 3324, 4771]",[1514],22.80900523017969
"[2753, 4059]",[2851],22.797605836986072
"[660, 2812]","[830, 1018]",22.689720888355343
"[2452, 2812]","[830, 1018]",22.669646565021356
"[1018, 4817]",[3906],22.634655906129925
"[1003, 1130]",[1135],22.460097189069153
"[830, 2452, 2812]",[1018],22.44873508353222
"[1135, 1764]",[1003],22.411577206947687
"[830, 1462, 2812]",[1018],22.39001999612978
"[780, 822]",[823],22.388901035140975
"[1463, 3906]",[584],22.36794906068486
"[1003, 1514]",[1135],22.341886151231947
"[1537, 1764]","[1514, 4771]",22.272530658714246
"[2218, 2851]",[954],22.21421188630491
"[584, 830, 1462]",[2812],22.19825974025974
"[1764, 4771]","[1514, 1537]",22.16148011681007
"[3324, 4771]","[1514, 1537]",22.137241795245515
[1830],[1615],22.039296350774702
"[543, 830]","[1018, 2812]",22.02624525351798
"[722, 806]",[911],22.012425114477566
"[2218, 2753]",[2851],21.97225935828877
"[1463, 2812]",[584],21.970634772758864
"[1462, 2452, 2812]",[584],21.83537884495427
"[584, 1018, 1462]",[2812],21.81880230880231
[2887],[2414],21.730583873069406
"[911, 2413]",[722],21.70047417042479
"[1003, 1764]",[1135],21.69115160313781
[1135],"[1003, 1764]",21.69115160313781
"[543, 1462]","[830, 2812]",21.668296102352702
"[584, 1018, 3906]",[1462],21.64688345436423
"[2218, 2851]",[2753],21.444240506329113
[4161],[10431],21.41132948205074
"[584, 830, 2812]",[1018],21.35580084858128
"[543, 830, 2812]",[1018],21.33836754176611
"[1537, 1764, 4771]",[1514],21.245423970839674
"[875, 1537, 4771]",[1514],21.169253361641896
"[1135, 3324]",[1003],21.128974350934403
[3914],[3905],21.04801544328829
"[584, 1018]",[2812],20.937365087228848
"[875, 1514, 1537]",[4771],20.932302072435522
"[584, 830]",[2812],20.92667366675877
"[911, 1977]",[722],20.820725217569734
"[1514, 1537, 3324]",[4771],20.817289423685875
"[722, 1977]",[911],20.790029040763972
"[722, 910]",[911],20.762643249140712
"[660, 1190]",[648],20.7336270905421
"[722, 1067]",[911],20.656930263294285
"[543, 1462, 2812]",[1018],20.65176345796871
"[722, 726]",[911],20.577592952802554
"[1514, 1537, 1764]",[1135],20.561900716106326
"[543, 830, 2452]",[1018],20.505711382594104
"[875, 1003]",[1135],20.31080559202904
[1442],[1086],20.27824191864005
"[3906, 4817]","[584, 1462]",20.27366252605869
"[830, 1018, 2452]",[2812],20.22967325667963
"[543, 1018, 2812]",[830],20.221412028660346
"[726, 910]",[1052],20.214627246590716
"[482, 722]",[911],20.181870011402513
"[1462, 2812, 3906]",[1018],20.17282645755199
"[2452, 2812]","[584, 1462]",20.168365209062884
[3813],[2067],20.118716086582943
"[660, 830]","[1018, 2812]",20.11783411241895
"[584, 1463, 3906]",[1462],20.058888143040214
"[660, 830, 2812]",[1018],20.04830283744365
"[830, 1462, 2452]",[2812],20.039115595148655
"[1462, 1463]",[584],20.02580102747185
"[910, 1052]",[726],20.024672555589397
"[1462, 2452, 2812]",[1018],20.0104043443672
"[830, 1462, 2452]",[1018],19.969060533738336
"[584, 3906]",[1463],19.903052208835337
"[543, 830, 1462]",[1018],19.857626044152745
"[1018, 1463]",[584],19.73011805928099
"[543, 1462, 2812]",[830],19.730025277503024
"[1018, 1462, 3906]",[584],19.7050979820319
"[1514, 1537, 1764]",[4771],19.673482312494347
"[1462, 2812]",[584],19.660999811302617
"[584, 2812, 3906]",[1462],19.63044587202382
[2050],[2845],19.613129454080948
"[817, 1462]",[1463],19.60328008519702
"[722, 869]",[911],19.579426130465123
"[951, 1190]",[648],19.573878935376968
"[543, 1462]","[830, 1018]",19.517582248416605
"[830, 1018, 1462]",[2812],19.51495361781076
"[738, 2753]",[2851],19.45907182835821
"[1130, 1537, 4771]",[1514],19.444588915733217
"[1130, 1514, 1537]",[4771],19.37830628379976
[521],[1563],19.375575714585437
"[1052, 1721]",[726],19.37480352389403
"[875, 1514, 4771]",[1537],19.337213211194218
"[584, 3906, 4817]",[1462],19.322782156139656
"[722, 2218]",[911],19.315163937293196
[864],[722],19.302110953712784
"[1018, 1462, 2812]",[584],19.281876783979836
"[830, 2812]",[1018],19.263944849071375
"[1130, 1514, 4771]",[1537],19.223794647897925
"[730, 911]",[722],19.173352178399963
"[543, 1018, 2452]",[830],19.159363077575243
"[584, 2452]","[1018, 2812]",19.14996580460498
"[869, 1058]",[2218],19.14100802804161
"[910, 911]",[722],19.114941356835914
"[822, 823]",[780],19.10335141418055
"[2218, 2753]",[1058],19.037336628120233
"[722, 1058]",[911],19.028620296465224
"[660, 830, 1018]",[2812],19.00347297863427
"[584, 1462, 2812]",[1463],18.99719576719577
"[543, 830, 1462]",[2812],18.943226461038964
"[722, 730]",[911],18.885581572131915
"[482, 911]",[722],18.87203398866498
"[584, 830, 1462]",[1018],18.827971360381863
"[1003, 1135, 3324]",[1764],18.82750615736576
"[2812, 4817]",[584],18.800967150675316
"[1514, 3324]",[4771],18.764880607266143
"[543, 2452]","[830, 1018]",18.76040297474922
"[543, 1018, 1462]",[830],18.677599595934083
"[543, 1018, 1462]",[2812],18.649929078014182
"[726, 911]",[722],18.63822117818594
"[485, 722]",[911],18.605485508970247
"[485, 911]",[722],18.60243350311262
[2979],[2557],18.59130712660646
[2557],[2979],18.59130712660646
"[1537, 1764]",[1135],18.55875526939395
"[2812, 3906]",[584],18.553806486261358
"[1018, 1462, 2452]",[2812],18.551252204585538
[2851],[954],18.540285491148907
[954],[2851],18.540285491148907
"[1130, 1537]","[1514, 4771]",18.523137738449265
"[869, 911]",[722],18.47472800995624
"[830, 1462]",[1018],18.444704767804115
"[817, 1462]",[584],18.432374271595855
"[543, 830, 1018]",[2812],18.430789527932387
"[4676, 4771]",[1514],18.358841644191962
"[830, 2452]",[1018],18.314693330730805
"[897, 4771]",[1514],18.308216836242313
"[584, 1462, 2452]",[2812],18.303240811476105
"[780, 824]",[823],18.271091674500347
"[875, 1514]",[4771],18.25419973488371
"[780, 823]",[822],18.19649056861673
[4817],[3906],18.14842028763095
[3906],[4817],18.14842028763095
"[485, 2218]",[1058],18.126942209841097
"[856, 1018]",[2812],18.12102835939571
"[830, 1462, 2812]",[584],18.075720997688578
"[1018, 2812, 3906]",[1462],18.052999328736192
"[875, 4771]",[1514],18.03390639385228
"[584, 830]",[1018],18.02678108972731
"[2218, 3217]",[1058],17.996749191575272
"[1135, 1537, 1764]",[1514],17.984023354564755
"[817, 1018]",[2812],17.974299384825702
"[1135, 4771]",[1537],17.961575718437196
"[1514, 11931]",[4771],17.941973204944734
"[485, 1058]",[2218],17.936760238523853
"[2812, 3451]",[1018],17.905031587814122
"[1018, 1463]",[1462],17.904913577344622
"[1462, 3906, 4817]",[584],17.896434197440346
"[875, 1135]",[1003],17.888707482993198
"[911, 1067]",[722],17.882838089469196
"[543, 1462]","[1018, 2812]",17.869951848400124
"[584, 861]",[1462],17.82155061939342
"[1018, 1462, 3906]",[2812],17.818001129305475
"[584, 3905]",[1462],17.776959583648484
"[584, 830, 2812]",[1462],17.746544093217523
"[850, 3451]",[828],17.733983705413543
"[1141, 1514]",[4771],17.733246546102784
